PK_Employé,Matricule,Qualité,Genre,Age,Pays de naissance,Ville de naissance,Situation familiale,Nombre de personnes à charge,Nombre de personnes à charge.1,Nombre d'enfants SFT,Etablissement,Code-Département,Code-Unité organisationnelle,Poste,Code-Classification,Code-Qualification,Expérience en Année,Code-Niveau d'expérience,Code-Type de contrat,Type de temps contractuel,Heures de présence / jour,Heures de présence / semaine,Heures de présence / mois,Hérité de l'affectation,Type d'affectation,Type de rattachement,Type travail,Etat de la mobilité,Pourcentage d'affectation,Pourcentage d'affectation budgeté,NbAbsencesTotaleParEmployé,TauxAbsenteisme,Droits Congés Payés,Note globale,Rubrique,Montant de l'augmentation,Taux d'augmentation,Motif d'augmentation,Montant du salaire,Situation
1,000DATA032,Mlle,Féminin,32,Maroc,MAR,Célibataire,0,0,0,MA-Cns,PRO,DOP3721,Responsable D'Équipe,CAS,A2,10,J01,DI,temps plein,4.610516765285995,39.6441459566075,182.884352399737,1,1,Administratif,Sur site,Locale,100,100,626,0.22819521072046264,"1,5 jours par mois",92,SBM,450,7.143,Campagne Augmentat,6750,Actif
2,000DATA044,Mr.,Masculin,36,Mauritanie,MRT,Célibataire,0,0,0,MA-Cns,PRO,DOP373,Conseiller Commercial,EMP,E2,6,C03,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,91,0.05617283950617284,"1,5 jours par mois",91,SBM,250,5.556,Campagne Augmentat,4750,Actif
3,000DATA047,Mr.,Masculin,43,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,DOP3461,Conseilleur Technique,EMP,E2,6,C02,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,102,0.06296296296296296,"1,5 jours par mois",-99,SBM,250,5.882,Campagne Augmentat,4500,Actif
4,000DATA069,Mr.,Masculin,45,Maroc,MAR,Célibataire,0,0,0,MA-Cns,PRO,P00000887,Conseilleur Technique,EMP,E2,3,C01,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,38,0.04691358024691358,"1,5 jours par mois",-99,SBM,225,5.59,Non défini,4250,Actif
5,000DATA077,Mme.,Féminin,25,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00001059,Chargé De Clientèle,EMP,E2,1,J02,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,26,0.0962962962962963,"1,5 jours par mois",-99,SBM,0,0,Non défini,3845,Actif
6,001DATA002,Mlle,Féminin,48,Maroc,MAR,Célibataire,0,0,0,MA-Cns,SPR,DRH17,Change Leader,CAD,C1,24,C01,DI,temps plein,0,39.57,208,1,1,Administratif,Sur site,Locale,100,100,543,0.07251602564102565,2 jours par mois,88,SBM,165.68,1,Campagne Augmentat,16733.68,Actif
7,001DATA009,Mme.,Féminin,36,Maroc,MAR,Marié(e),0,0,0,MA-Cns,SPR,DOP2130,Chargé De Reporting,EMP,E3,12,C01,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,482,0.14876543209876544,"1,5 jours par mois",120,SBM,270,4.5,Campagne Augmentat,6270,Actif
8,001DATA040,Mme.,Féminin,32,Maroc,CASABLANCA,Marié(e),0,0,0,MA-ABD,PRO,P00000324,Responsable D'Équipe,CAS,A2,7,J03,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,99,0.05238095238095238,"1,5 jours par mois",107,SBM,500,7.143,Campagne Augmentat,7500,Actif
9,001DATA042,Mme.,Féminin,33,Maroc,CASABLANCA,Marié(e),0,0,0,MA-Cns,PRO,P00000643,Conseiller Commercial,EMP,E2,7,C03,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,104,0.05502645502645503,"1,5 jours par mois",96,SBM,250,5.556,Campagne Augmentat,4750,Actif
10,001DATA044,Mr.,Masculin,34,Sénégal,SEN,Marié(e),0,0,0,MA-Cns,PRO,P00000324,Conseiller Commercial,EMP,E2,6,C01,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,98,0.06049382716049383,"1,5 jours par mois",102,SBM,225,5.59,Campagne Augmentat,4250,Actif
11,001DATA045,Mr.,Masculin,56,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,DOP137,Conseilleur Technique,EMP,E2,6,C03,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,102,0.06296296296296296,"1,5 jours par mois",90,SBM,250,5.556,Non défini,4750,Actif
12,001DATA069,Mme.,Féminin,34,Sénégal,SEN,Marié(e),0,0,0,MA-Cns,PRO,P00000886,Conseilleur Technique,EMP,E2,3,J03,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,25,0.030864197530864196,"1,5 jours par mois",-99,SBM,180,4.681,Campagne Augmentat,4025,Actif
13,002DATA030,Mlle,Féminin,38,Maroc,CASABLANCA,Célibataire,0,0,0,MA-Cns,PRO,P00000645,Conseilleur Technique,EMP,E2,12,J03,DI,temps plein,0,39.57,208,1,1,Administratif,Sur site,Locale,100,100,391,0.10443376068376069,"1,5 jours par mois",-99,SBM,180,4.681,Campagne Augmentat,4025,Actif
14,002DATA038,Mr.,Masculin,33,Maroc,RABAT,Marié(e),0,0,0,MA-TAC,PRO,P00000645,Chargé De Clientèle,EMP,E2,2,J02,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,88,0.16296296296296298,"1,5 jours par mois",-99,SBM,0,0,Non défini,3944,Actif
15,002DATA040,Mme.,Féminin,34,Sénégal,SEN,Marié(e),0,0,0,MA-ABD,ADM,DRH7,Expert En Paie,CAS,A3,7,J01,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,105,0.05555555555555555,2 jours par mois,104,SBM,1240,18.766,Campagne Augmentat,7847.72,Actif
16,002DATA042,Mme.,Féminin,26,Maroc,CASABLANCA,Marié(e),0,0,0,MA-Cns,PRO,P00000341,Conseiller Commercial,EMP,E2,7,C03,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,154,0.08148148148148149,"1,5 jours par mois",88,SBM,250,5.556,Campagne Augmentat,4750,Actif
17,002DATA069,Mr.,Masculin,33,Sénégal,SEN,Marié(e),0,0,0,MA-Cns,PRO,P00000887,Conseilleur Technique,EMP,E2,3,C01,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,10,0.012345679012345678,"1,5 jours par mois",-99,SBM,225,5.59,Non défini,4250,Actif
18,002DATA071,Mr.,Masculin,31,Maroc,MAR,Célibataire,0,0,0,MA-Cns,PRO,P00000938,Chargé De Clientèle,EMP,E2,2,J03,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,11,0.020370370370370372,"1,5 jours par mois",-99,SBM,180,4.681,Non défini,4025,Actif
19,002DATA077,Mme.,Féminin,26,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00000981,Chargé De Clientèle,EMP,E2,1,J02,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,25,0.09259259259259259,"1,5 jours par mois",-99,SBM,0,0,Non défini,3845,Actif
20,002DATAM01,Mme.,Féminin,59,Maroc,MAR,Marié(e),0,0,0,MA-Cns,ADM,DRH22,Chargé De Formation Et Développement Des Ressources Humaines,EMP,E4,8,C01,DI,temps plein,0,39.57,208,1,1,Administratif,Sur site,Locale,100,100,243,0.09735576923076923,2 jours par mois,116,SBM,183.91,2.5,Campagne Augmentat,7540.42,Actif
21,003DATA036,Mme.,Féminin,32,Maroc,CASABLANCA,Marié(e),0,0,0,MA-Cns,PRO,P00000918,Conseilleur Technique,EMP,E2,8,C03,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,134,0.062037037037037036,"1,5 jours par mois",103,SBM,250,5.556,Campagne Augmentat,4750,Actif
22,003DATA064,Mr.,Masculin,45,Maroc,MAR,Célibataire,0,0,0,MA-Cns,PRO,P00000557,Chargé De Clientèle,EMP,E2,4,C01,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,26,0.024074074074074074,"1,5 jours par mois",-99,SBM,225,5.59,Non défini,4250,Actif
23,003DATA069,Mr.,Masculin,33,Sénégal,SEN,Marié(e),0,0,0,MA-Cns,ADM,DOP130,Technicien It,EMP,E2,3,J03,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,41,0.050617283950617285,"1,5 jours par mois",-99,SBM,180,4.681,Campagne Augmentat,4025,Actif
24,004DATA040,Mr.,Masculin,42,Sénégal,SEN,Marié(e),0,0,0,MA-ABD,PRO,P00000268,Conseilleur Technique,EMP,E2,7,C02,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,108,0.05714285714285714,"1,5 jours par mois",98,SBM,250,5.882,Campagne Augmentat,4500,Actif
25,004DATA043,Mme.,Féminin,33,Maroc,EL JADIDA,Marié(e),0,0,0,MA-ElJad,PRO,P00000830,Conseilleur Technique,EMP,E2,7,C03,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,136,0.07195767195767196,"1,5 jours par mois",98,SBM,230.74,5.555,Campagne Augmentat,4384.53,Actif
26,004DATA064,Mr.,Masculin,44,Sénégal,SEN,Célibataire,0,0,0,MA-Cns,PRO,P00000555,Chargé De Clientèle,EMP,E2,4,C01,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,24,0.022222222222222223,"1,5 jours par mois",-99,SBM,225,5.59,Campagne Augmentat,4250,Actif
27,004DATA073,Mme.,Féminin,33,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00000538,Conseilleur Technique,EMP,E2,1,J01,DI,temps plein,7.91,39.57,180,1,1,Administratif,Travail à distance,Locale,100,100,29,0.10740740740740741,"1,5 jours par mois",-99,SBM,133.2,4.759,Augmentation SMIG,2932.2,Actif
28,004DATAM01,Mme.,Féminin,53,Maroc,MAR,Marié(e),0,0,0,MA-Cns,ADM,DAF6,Taxe Manager,CAD,C2,8,J01,DI,temps plein,0,39.57,208,1,1,Administratif,Sur site,Locale,100,100,209,0.08373397435897435,2 jours par mois,4,SBM,1158.55,5.5,Campagne Augmentat,22223.05,Actif
29,005DATA058,Mr.,Masculin,38,Maroc,MAR,Célibataire,0,0,0,MA-Cns,PRO,P00000134,Chargé De Clientèle,EMP,E2,2,J02,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,57,0.10555555555555556,"1,5 jours par mois",-99,SBM,211.5,6.51,Campagne Augmentat,3460.5,Actif
30,005DATA060,Mme.,Féminin,40,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00001237,Conseiller Commercial,EMP,E1,5,S02,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,79,0.05851851851851852,"1,5 jours par mois",0,SBM,250,5.556,Campagne Augmentat,4750,Actif
31,005DATA068,Mme.,Féminin,35,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00000671,Responsable D'Équipe,CAS,A2,3,C02,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,29,0.03580246913580247,"1,5 jours par mois",-99,SBM,500,5.952,Campagne Augmentat,8900,Actif
32,005DATA071,Mme.,Féminin,27,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00000264,Conseiller Digital,EMP,E2,2,J01,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,77,0.1425925925925926,"1,5 jours par mois",-99,SBM,0,0,Non défini,3249,Actif
33,005DATA077,Mme.,Féminin,33,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00000976,Chargé De Clientèle,EMP,E2,1,J02,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,40,0.14814814814814814,"1,5 jours par mois",-99,SBM,0,0,Non défini,3845,Actif
34,006DATA038,Mr.,Masculin,28,Maroc,TAN TAN,Célibataire,0,0,0,MA-Cns,ADM,DOP2479,Analyste Idp,EMP,E3,8,C01,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,174,0.08055555555555556,"1,5 jours par mois",83,SBM,243,5,Campagne Augmentat,5103,Actif
35,006DATA060,Mr.,Masculin,35,Sénégal,SEN,Marié(e),1,0,1,MA-Cns,PRO,P00000276,Chargé De Clientèle,EMP,E2,5,C02,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,254,0.18814814814814815,"1,5 jours par mois",0,SBM,250,5.882,Campagne Augmentat,4500,Actif
36,006DATA064,Mme.,Féminin,27,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00000341,Conseiller Commercial,EMP,E2,4,C01,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,48,0.044444444444444446,"1,5 jours par mois",-99,SBM,225,5.59,Campagne Augmentat,4250,Actif
37,006DATA073,Mme.,Féminin,22,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00000538,Conseilleur Technique,EMP,E2,1,J01,DI,temps plein,7.91,39.57,180,1,1,Administratif,Travail à distance,Locale,100,100,14,0.05185185185185185,"1,5 jours par mois",-99,SBM,133.2,4.759,Augmentation SMIG,2932.2,Actif
38,006DATA077,Mme.,Féminin,28,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00000981,Chargé De Clientèle,EMP,E2,1,J02,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,30,0.1111111111111111,"1,5 jours par mois",-99,SBM,0,0,Non défini,3845,Actif
39,006DATAM50,Mr.,Masculin,35,Sénégal,SEN,Célibataire,0,0,0,MA-InTownProd,PRO,P00000911,Chargé De Clientèle,EMP,E2,2,J03,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,25,0.046296296296296294,"1,5 jours par mois",-99,SBM,81,2.054,Campagne Augmentat,4025,Actif
40,007DATA031,Mlle,Féminin,38,Maroc,CASABLANCA,Célibataire,0,0,0,MA-Cns,SPR,QM MAR5,Contrôleur Qualité,EMP,E3,11,C03,DI,temps plein,0,42,180,1,1,Administratif,Sur site,Locale,100,100,255,0.08585858585858586,"1,5 jours par mois",110,SBM,250,4.545,Campagne Augmentat,6000,Actif
41,007DATA042,Mr.,Masculin,44,Sénégal,SEN,Célibataire,0,0,0,MA-Cns,ADM,DOP2121,Chargé De Reporting,EMP,E3,7,J01,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,120,0.06349206349206349,"1,5 jours par mois",109,SBM,225,4.5,Campagne Augmentat,5225,Actif
42,007DATA068,Mr.,Masculin,36,Sénégal,SEN,Célibataire,0,0,0,MA-TAC,PRO,DOP651021,Chargé De Clientèle,EMP,E2,3,J03,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,13,0.016049382716049384,"1,5 jours par mois",-99,SBM,184.41,4.676,Campagne Augmentat,4128.41,Actif
43,007DATA069,Mme.,Féminin,31,Sénégal,SEN,Marié(e),0,0,0,MA-TAC,PRO,P00000130,Chargé De Clientèle,EMP,E2,3,J03,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,37,0.04567901234567901,"1,5 jours par mois",-99,SBM,184.41,4.676,Campagne Augmentat,4128.41,Actif
44,008DATA073,Mme.,Féminin,37,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00000538,Conseilleur Technique,EMP,E2,1,J01,DI,temps plein,7.91,39.57,180,1,1,Administratif,Travail à distance,Locale,100,100,34,0.1259259259259259,"1,5 jours par mois",-99,SBM,133.2,4.759,Augmentation SMIG,2932.2,Actif
45,008DATAM00,Mme.,Féminin,40,Maroc,CASABLANCA,Marié(e),0,0,0,MA-Cns,ADM,DOP2411,Planificateur,CAS,A2,8,C01,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,326,0.15092592592592594,2 jours par mois,-99,SBM,264,4,Campagne Augmentat,6864,Actif
46,008DATAM01,Mr.,Masculin,44,Maroc,MAR,Marié(e),0,0,0,MA-Cns,SPR,QM MAR10,Responsable Qa,CAS,A2,8,C03,DI,temps plein,0,39.57,208,1,1,Administratif,Sur site,Locale,100,100,171,0.06850961538461539,2 jours par mois,110,SBM,500,5.618,Campagne Augmentat,9400,Actif
47,009DATA035,Mme.,Féminin,30,Maroc,MAR,Marié(e),0,0,0,MA-Cns,ADM,DOP2412,Chef De Projet,CAS,A2,9,J01,DI,temps plein,4.610516765285995,39.6441459566075,182.884352399737,1,1,Administratif,Sur site,Locale,100,100,160,0.06480517166360317,"1,5 jours par mois",98,SBM,1449,12,Campagne Augmentat,13524,Actif
48,009DATA045,Mme.,Féminin,47,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,DOP3143,Responsable D'Équipe,CAS,A2,6,C03,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,93,0.05740740740740741,"1,5 jours par mois",132,SBM,500,5.618,Campagne Augmentat,9400,Actif
49,009DATA063,Mme.,Féminin,39,Maroc,MAR,Marié(e),0,0,0,MA-Cns,ADM,DEP.COM3,Resp Com Editoriale,CAD,C1,4,S01,DI,temps plein,7.91,39.57,208,1,1,Administratif,Sur site,Locale,100,100,96,0.07692307692307693,2 jours par mois,-99,SBM,906.54,4,Campagne Augmentat,23570,Actif
50,009DATA067,Mr.,Masculin,32,Maroc,MAR,Célibataire,0,0,0,MA-Cns,PRO,P00000672,Conseiller Commercial,EMP,E2,3,C02,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,34,0.04197530864197531,"1,5 jours par mois",-99,SBM,250,5.882,Non défini,4500,Actif
51,009DATA073,Mme.,Féminin,37,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00000949,Chargé De Clientèle,EMP,E2,1,J03,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,24,0.08888888888888889,"1,5 jours par mois",-99,SBM,180,4.681,Non défini,4025,Actif
52,009DATAE20,Mr.,Masculin,58,Maroc,MAR,Marié(e),0,0,0,MA-Cns,SPR,QM MAR3,Contrôleur Qualité,EMP,E3,23,S03,DI,temps plein,0,42,180,1,1,Administratif,Sur site,Locale,100,100,287,0.046215780998389695,"1,5 jours par mois",111,SBM,374.22,4.209,Non défini,9264.36,Actif
53,009DATAS00,Mlle,Féminin,45,Maroc,CASABLANCA,Célibataire,0,0,0,MA-Cns,ADM,MAR0043,Bu Manager,CAD,C2,13,C01,DI,temps plein,0,39.57,208,1,1,Administratif,Sur site,Locale,100,100,727,0.1792406311637081,2 jours par mois,-99,SBM,5354.4,26.378,Campagne Augmentat,25653.4,Actif
54,010DATA045,Mme.,Féminin,41,Maroc,MAR,Marié(e),0,0,0,MA-Cns,ADM,DOP101,Responsable Process,CAD,C1,6,C01,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,214,0.13209876543209875,2 jours par mois,107,SBM,910,7.178,Campagne Augmentat,13588.28,Actif
55,010DATA069,Mme.,Féminin,27,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00000558,Chargé De Clientèle,EMP,E2,3,J03,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,43,0.05308641975308642,"1,5 jours par mois",-99,SBM,180,4.681,Campagne Augmentat,4025,Actif
56,010DATAI01,Mme.,Féminin,30,Sénégal,SEN,Marié(e),0,0,0,MA-Cns,PRO,P00000949,Chargé De Clientèle,EMP,E2,1,J02,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,55,0.2037037037037037,"1,5 jours par mois",-99,SBM,0,0,Non défini,3845,Actif
57,011DATA004,Mme.,Féminin,49,Maroc,MAR,Marié(e),0,0,0,MA-Cns,ADM,B04020000,Bu Manager,CAD,C2,23,C01,DI,temps plein,0,39.57,208,1,1,Administratif,Sur site,Locale,100,100,430,0.059921962095875136,2 jours par mois,115,SBM,1259.06,5.5,Campagne Augmentat,24151.06,Actif
58,011DATA058,Mr.,Masculin,34,Sénégal,SEN,Célibataire,0,0,0,MA-Cns,PRO,P00000324,Conseilleur Technique,EMP,E2,5,C01,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,124,0.09185185185185185,"1,5 jours par mois",82,SBM,225,5.59,Campagne Augmentat,4250,Actif
59,011DATA069,Mme.,Féminin,33,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00000555,Chargé De Clientèle,EMP,E2,3,J03,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,272,0.3358024691358025,"1,5 jours par mois",-99,SBM,180,4.681,Campagne Augmentat,4025,Actif
60,011DATA077,Mr.,Masculin,39,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00001059,Chargé De Clientèle,EMP,E2,1,J02,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,19,0.07037037037037037,"1,5 jours par mois",-99,SBM,0,0,Non défini,3845,Actif
61,012DATA064,Mr.,Masculin,22,Maroc,MAR,Célibataire,0,0,0,MA-Cns,PRO,P00000340,Conseiller Commercial,EMP,E2,4,J03,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,77,0.0712962962962963,"1,5 jours par mois",-99,SBM,180,4.681,Campagne Augmentat,4025,Actif
62,012DATA071,Mme.,Féminin,30,Sénégal,SEN,Marié(e),0,0,0,MA-Cns,PRO,P00000949,Chargé De Clientèle,EMP,E2,2,J03,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,19,0.03518518518518519,"1,5 jours par mois",-99,SBM,180,4.681,Campagne Augmentat,4025,Actif
63,012DATAM01,Mr.,Masculin,51,Maroc,MAR,Célibataire,0,0,0,MA-Cns,SPR,QM MAR,Responsable Qa,CAD,C1,8,J01,DI,temps plein,0,39.57,208,1,1,Administratif,Sur site,Locale,100,100,133,0.05328525641025641,2 jours par mois,130,SBM,603.75,5,Campagne Augmentat,12678.75,Actif
64,013DATA069,Mme.,Féminin,30,Sénégal,SEN,Marié(e),0,0,0,MA-Cns,PRO,P00000562,Conseilleur Technique,EMP,E2,3,J03,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,37,0.04567901234567901,"1,5 jours par mois",-99,SBM,180,4.681,Campagne Augmentat,4025,Actif
65,013DATA071,Mme.,Féminin,29,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00000364,Chargé De Clientèle,EMP,E2,2,J03,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,24,0.044444444444444446,"1,5 jours par mois",-99,SBM,180,4.681,Non défini,4025,Actif
66,013DATAM00,Mr.,Masculin,34,Maroc,CASABLANCA,Célibataire,0,0,0,MA-InTown,PRO,P00001050,Chargé De Clientèle,EMP,E1,8,C02,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,331,0.15324074074074073,"1,5 jours par mois",108,SBM,150,5,Campagne Augmentat,3150,Actif
67,013DATAS00,Mme.,Féminin,49,Maroc,CASABLANCA,Marié(e),0,0,0,MA-MKS,ADM,MAR0031,Rqf Site,CAD,C1,12,C01,DI,temps plein,0,39.57,208,1,1,Administratif,Sur site,Locale,100,100,282,0.07532051282051282,2 jours par mois,105,SBM,671.07,4,Campagne Augmentat,17447.81,Actif
68,014DATA043,Mme.,Féminin,35,Maroc,EL JADIDA,Marié(e),0,0,0,MA-Cns,PRO,P00000902,Conseilleur Technique,EMP,E2,7,J03,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,662,0.3502645502645503,"1,5 jours par mois",-99,SBM,202.5,5.921,Campagne Augmentat,3622.5,Actif
69,014DATA063,Mr.,Masculin,32,Sénégal,SEN,Célibataire,0,0,0,MA-Cns,PRO,P00000282,Conseiller Commercial,EMP,E2,4,J02,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,145,0.13425925925925927,"1,5 jours par mois",-99,SBM,235,6.51,Campagne Augmentat,3845,Actif
70,014DATA065,Mr.,Masculin,27,Maroc,MAR,Célibataire,0,0,0,MA-Cns,PRO,P00000562,Chargé De Clientèle,EMP,E2,4,J03,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,75,0.06944444444444445,"1,5 jours par mois",-99,SBM,180,4.681,Campagne Augmentat,4025,Actif
71,014DATA068,Mme.,Féminin,28,Maroc,MAR,Marié(e),0,0,0,MA-Cns,ADM,DOP034,Data Engineer,CAD,C1,3,C01,DI,temps plein,7.91,39.57,208,1,1,Administratif,Sur site,Locale,100,100,46,0.049145299145299144,2 jours par mois,-99,SBM,10061.37,67.23,Campagne Augmentat,25026.93,Actif
72,014DATA069,Mr.,Masculin,33,Maroc,MAR,Célibataire,0,0,0,MA-Cns,PRO,P00000938,Chargé De Clientèle,EMP,E2,1,J02,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,18,0.06666666666666667,"1,5 jours par mois",-99,SBM,0,0,Non défini,3845,Actif
73,014DATA077,Mme.,Féminin,38,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00001059,Chargé De Clientèle,EMP,E2,1,J02,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,52,0.1925925925925926,"1,5 jours par mois",-99,SBM,0,0,Non défini,3845,Actif
74,014DATAM01,Mr.,Masculin,49,Maroc,MAR,Marié(e),0,0,0,MA-Cns,ADM,FIN0091,Crd Tresorerie,CAD,C1,8,J01,DI,temps plein,0,39.57,208,1,1,Administratif,Sur site,Locale,100,100,212,0.08493589743589744,2 jours par mois,109,SBM,2029.16,20.448,Promotion,11952.89,Actif
75,015DATA034,Mr.,Masculin,34,Maroc,EL JADIDA,Marié(e),0,0,0,MA-Cns,PRO,P00000892,Responsable D'Équipe,CAS,A2,9,J03,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,184,0.0757201646090535,"1,5 jours par mois",-99,SBM,450,7.143,Campagne Augmentat,6750,Actif
76,015DATA067,Mme.,Féminin,36,Sénégal,SEN,Marié(e),0,0,0,MA-Cns,PRO,P00000324,Conseiller Commercial,EMP,E2,3,J03,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,76,0.09382716049382717,"1,5 jours par mois",-99,SBM,180,4.681,Non défini,4025,Actif
77,015DATA068,Mr.,Masculin,37,Maroc,MAR,Célibataire,0,0,0,MA-Cns,ADM,DOP100,Business Analyst,CAS,A3,3,C01,DI,temps plein,7.91,39.57,208,1,1,Administratif,Sur site,Locale,100,100,34,0.03632478632478633,"1,5 jours par mois",-99,SBM,662.41,5,Campagne Augmentat,13910.54,Actif
78,015DATA077,Mr.,Masculin,29,Maroc,MAR,Célibataire,0,0,0,MA-Cns,PRO,P00000981,Chargé De Clientèle,EMP,E2,1,J03,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,20,0.07407407407407407,"1,5 jours par mois",-99,SBM,180,4.681,Non défini,4025,Actif
79,015DATAM01,Mme.,Féminin,47,Maroc,MAR,Marié(e),0,0,0,MA-Cns,SPR,QM MAR13,Contrôleur Qualité,EMP,E3,8,S03,DI,temps plein,0,39.57,208,1,1,Administratif,Sur site,Locale,100,100,175,0.07011217948717949,2 jours par mois,122,SBM,500,7.692,Campagne Augmentat,7500,Actif
80,016DATA031,Mr.,Masculin,34,Maroc,SAFI,Célibataire,0,0,0,MA-Cns,PRO,P00000892,Conseilleur Technique,EMP,E2,11,C03,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,192,0.06464646464646465,"1,5 jours par mois",92,SBM,275,6.875,Non défini,4275,Actif
