PK_Employé,Matricule,Qualité,Genre,Age,Pays de naissance,Ville de naissance,Situation familiale,Nombre de personnes à charge,Nombre de personnes à charge.1,Nombre d'enfants SFT,Etablissement,Code-Département,Code-Unité organisationnelle,Poste,Code-Classification,Code-Qualification,Expérience en Année,Code-Niveau d'expérience,Code-Type de contrat,Type de temps contractuel,Heures de présence / jour,Heures de présence / semaine,Heures de présence / mois,Hérité de l'affectation,Type d'affectation,Type de rattachement,Type travail,Etat de la mobilité,Pourcentage d'affectation,Pourcentage d'affectation budgeté,NbAbsencesTotaleParEmployé,TauxAbsenteisme,Droits Congés Payés,Note globale,Rubrique,Montant de l'augmentation,Taux d'augmentation,Motif d'augmentation,Montant du salaire,Situation
3837,656DATA041,Mr.,Masculin,33,Sénégal,SEN,Célibataire,0,0,0,MA-Cns,PRO,P00000959,Chargé De Clientèle,EMP,E2,7,C02,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,160,0.08465608465608465,"1,5 jours par mois",102,SBM,250,5.882,Campagne Augmentat,4500,Actif
3838,656DATA046,Mr.,Masculin,30,Sénégal,SEN,Célibataire,0,0,0,MA-Cns,PRO,P00000645,Conseilleur Technique,EMP,E2,6,C01,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,75,0.046296296296296294,"1,5 jours par mois",99,SBM,225,5.59,Campagne Augmentat,4250,Actif
3839,656DATA062,Mme.,Féminin,25,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00000872,Conseiller Digital,EMP,E2,4,J03,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,204,0.18888888888888888,"1,5 jours par mois",-99,SBM,162,4.681,Campagne Augmentat,3622.5,Actif
3840,656DATA063,Mme.,Féminin,29,Maroc,MAR,Marié(e),0,0,0,MA-TAC,PRO,P00000519,Chargé De Clientèle,EMP,E2,4,J03,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,95,0.08796296296296297,"1,5 jours par mois",-99,SBM,103.41,2.569,Mutation,4128.41,Actif
3841,656DATA068,Mr.,Masculin,29,Sénégal,SEN,Marié(e),0,0,0,MA-Cns,PRO,DOP3143,Chargé De Clientèle,EMP,E2,3,J03,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,29,0.03580246913580247,"1,5 jours par mois",-99,SBM,180,4.681,Campagne Augmentat,4025,Actif
3842,656DATA072,Mme.,Féminin,24,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00000981,Chargé De Clientèle,EMP,E2,1,J02,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,18,0.06666666666666667,"1,5 jours par mois",-99,SBM,0,0,Non défini,3845,Actif
3843,656DATA077,Mr.,Masculin,31,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00000981,Chargé De Clientèle,EMP,E2,1,J02,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,42,0.15555555555555556,"1,5 jours par mois",-99,SBM,0,0,Non défini,3845,Actif
3844,656DATAE20,Mlle,Féminin,45,Maroc,MAR,Célibataire,0,0,0,MA-Cns,ADM,MAR0061,Responsable Qa,CAD,C1,20,J01,DI,temps plein,0,42,208,1,1,Administratif,Sur site,Locale,100,100,241,0.03862179487179487,2 jours par mois,106,SBM,680.04,5,Campagne Augmentat,14280.93,Actif
3845,657DATA030,Mlle,Féminin,39,Maroc,CASABLANCA,Célibataire,0,0,0,MA-Cns,SPR,QM MAR5,Contrôleur Qualité,EMP,E3,11,S01,DI,temps plein,0,42,180,1,1,Administratif,Sur site,Locale,100,100,432,0.14545454545454545,"1,5 jours par mois",115,SBM,500,8.333,Non défini,6500,Actif
3846,657DATA043,Mme.,Féminin,29,Maroc,MEKNES,Marié(e),0,0,0,MA-MKS,PRO,P00000056,Chargé De Clientèle,EMP,E2,4,J03,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,188,0.17407407407407408,"1,5 jours par mois",-99,SBM,93.56,2.583,Mutation,3716.06,Actif
3847,657DATA047,Mr.,Masculin,37,Maroc,MAR,Célibataire,0,0,0,MA-Cns,PRO,DOP3461,Conseilleur Technique,EMP,E2,5,C02,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,161,0.11925925925925926,"1,5 jours par mois",102,SBM,250,5.882,Campagne Augmentat,4500,Actif
3848,657DATA063,Mme.,Féminin,27,Maroc,MAR,Marié(e),0,0,0,MA-TAC,PRO,P00000519,Chargé De Clientèle,EMP,E2,4,C01,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,95,0.08796296296296297,"1,5 jours par mois",-99,SBM,230.51,5.584,Campagne Augmentat,4358.92,Actif
3849,657DATA067,Mme.,Féminin,32,Maroc,MAR,Marié(e),0,0,0,MA-TAC,PRO,P00000519,Chargé De Clientèle,EMP,E2,3,J03,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,234,0.28888888888888886,"1,5 jours par mois",-99,SBM,184.41,4.676,Campagne Augmentat,4128.41,Actif
3850,657DATA077,Mr.,Masculin,27,Maroc,MAR,Célibataire,0,0,0,MA-Cns,PRO,P00000977,Chargé De Clientèle,EMP,E2,1,J02,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,29,0.10740740740740741,"1,5 jours par mois",-99,SBM,0,0,Non défini,3845,Actif
3851,657DATAM00,Mr.,Masculin,40,Maroc,CASABLANCA,Marié(e),1,0,1,MA-Cns,PRO,DOP651022,Chargé De Clientèle,EMP,E2,8,S02,DI,temps plein,0,39.57,192,1,1,Administratif,Sur site,Locale,100,100,293,0.1271701388888889,"1,5 jours par mois",100,SBM,233.04,4.645,Non défini,5250,Actif
3852,658DATA008,Mr.,Masculin,35,Maroc,MAR,Célibataire,0,0,0,MA-Cns,PRO,P00000887,Chargé De Clientèle,EMP,E2,4,J03,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,222,0.20555555555555555,"1,5 jours par mois",-99,SBM,180,4.681,Campagne Augmentat,4025,Actif
3853,658DATA039,Mr.,Masculin,36,Maroc,CASABLANCA,Célibataire,0,0,0,MA-Cns,PRO,P00000556,Conseilleur Technique,EMP,E2,7,C03,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,139,0.07354497354497354,"1,5 jours par mois",36,SBM,250,5.556,Campagne Augmentat,4750,Actif
3854,658DATA040,Mme.,Féminin,54,Maroc,MAR,Marié(e),0,0,0,MA-HASSANE2,PRO,P00000061,Conseiller Commercial,EMP,E2,7,C02,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,134,0.07089947089947089,"1,5 jours par mois",92,SBM,114.8,2.551,Campagne Augmentat,4614.8,Actif
3855,658DATA064,Mr.,Masculin,30,Sénégal,SEN,Marié(e),0,0,0,MA-TAC,PRO,P00000519,Chargé De Clientèle,EMP,E2,4,C01,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,105,0.09722222222222222,"1,5 jours par mois",-99,SBM,230.51,5.584,Campagne Augmentat,4358.92,Actif
3856,658DATA068,Mme.,Féminin,26,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00000653,Chargé De Clientèle,EMP,E2,3,J03,DI,temps plein,7.91,39.57,208,1,1,Administratif,Sur site,Locale,100,100,40,0.042735042735042736,"1,5 jours par mois",-99,SBM,180,4.681,Campagne Augmentat,4025,Actif
3857,658DATA077,Mr.,Masculin,30,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00000981,Chargé De Clientèle,EMP,E2,1,J02,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,5,0.018518518518518517,"1,5 jours par mois",-99,SBM,0,0,Non défini,3845,Actif
3858,659DATA035,Mme.,Féminin,30,Maroc,SAFI,Marié(e),0,0,0,MA-Cns,PRO,P00000902,Responsable D'Équipe,CAS,A2,9,J01,DI,temps plein,4.610516765285995,39.6441459566075,182.884352399737,1,1,Administratif,Sur site,Locale,100,100,146,0.05913471914303789,"1,5 jours par mois",96,SBM,450,5.952,Campagne Augmentat,8010,Actif
3859,659DATA042,Mme.,Féminin,40,Maroc,RABAT,Marié(e),0,0,0,MA-Cns,PRO,P00000293,Conseiller Commercial,EMP,E2,7,C02,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,129,0.06825396825396825,"1,5 jours par mois",94,SBM,250,5.882,Campagne Augmentat,4500,Actif
3860,659DATA045,Mr.,Masculin,28,Maroc,MAR,Célibataire,0,0,0,MA-Cns,PRO,P00000872,Conseiller Digital,EMP,E2,6,J03,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,127,0.07839506172839507,"1,5 jours par mois",79,SBM,162,4.681,Campagne Augmentat,3622.5,Actif
